Entry,Component_A_SMILES,Component_B_SMILES,Component_C_SMILES,Product_SMILES,Yield_Percent,Is_Synthesizable,Z_ID
1163,Cc1ccc(N)nc1Cl,COc1cc(C)ncc1C=O,COC(=O)CCC([N+]#[C-])C(=O)OC10,"COC(=O)CCC(NC1=C(N=C2C=CC(C)=C(Cl)N12)C1=C(OC)C=C(C)N=C1)C(=O)OC |c:12,21,28,t:8,10,15,25|",0.6,TRUE,Z8873684644
357,Nc1ccc(cn1)S(=O)(=O)O,Cc1ccc(C=O)cc1F,"COC(=O)[C@@H]1CC[C@@H](C1)[N+]#[C-]|&1:4,7,r|","COC(=O)[C@@H]1CC[C@@H](C1)NC1=C(N=C2C=CC(=CN12)S(O)(=O)=O)C1=CC(F)=C(C)C=C1 |&1:4,7,r,c:15,17,32,t:11,13,26,29|",1.4,TRUE,Z8803896930
968,Nc1cnc(Br)c(Cl)n1,Cc1nn(C)c(C)c1C=O,CC(C)[N+]#[C-],"CC(C)NC1=C(N=C2C=NC(Br)=C(Cl)N12)C1=C(C)N(C)N=C1C |c:8,17,22,t:4,6,11|",1.4,TRUE,Z8810903047
356,COCCN(C)c1ccc(N)nc1,CC#CCCCC=O,COC(=O)CCC([N+]#[C-])C(=O)OC,"COCCN(C)C1=CN2C(C=C1)=NC(CCCC#CC)=C2NC(CCC(=O)OC)C(=O)OC |c:10,12,20,t:6|",1.6,TRUE,Z8808559870
1920,Nc1cc(C#N)c(Cl)cn1,O=Cc1cnc(s1)c2ccncc2,[C-]#[N+]CC1CCOC1,"ClC1=CN2C(NCC3CCOC3)=C(N=C2C=C1C#N)C1=CN=C(S1)C1=CC=NC=C1 |c:12,14,17,24,30,32,t:1,22,28|",1.6,TRUE,Z8878918513
353,COc1ccnnc1N,O=Cc1ccccn1,[C-]#[N+]CC1CCOCC1,"COC1=CC=NN2C(NCC3CCOCC3)=C(N=C12)C1=NC=CC=C1 |c:4,16,24,26,t:2,18,22|",1.8,TRUE,Z8778277287
1917,Nc1ccc(Cl)c(Br)n1,O=CCCN1CCOC1=O,CC(C)[N+]#[C-],"CC(C)NC1=C(CCN2CCOC2=O)N=C2C=CC(Cl)=C(Br)N12 |c:4,17,t:15,20|",1.8,TRUE,Z8878918400
1918,Nc1ncccc1N2CCOCC2,Cc1cc(C=O)no1,CCOC(=O)CCC[N+]#[C-],"CCOC(=O)CCCNC1=C(N=C2N1C=CC=C2N1CCOCC1)C1=NOC(C)=C1 |c:11,15,17,31,t:9,27|",1.8,TRUE,Z8873685448
354,Nc1ncc(Cl)c(Cl)c1Cl,Fc1ccc(C=O)cc1,CCCC[N+]#[C-],"CCCCNC1=C(N=C2N1C=C(Cl)C(Cl)=C2Cl)C1=CC=C(F)C=C1 |c:7,15,24,t:5,11,19,21|",2,TRUE,Z8780122034
1908,Cc1cncc(N)n1,O=Cc1noc2CCCc12,C[N+]#[C-],"CNC1=C(N=C2C=NC=C(C)N12)C1=NOC2=C1CCC2 |c:6,17,t:2,4,8,14|",2,TRUE,Z8873685257
1916,Cc1cc(Br)cc(N)n1,Cn1ncnc1C=O,[C-]#[N+]CC1CC1,"CN1N=CN=C1C1=C(NCC2CC2)N2C(C=C(Br)C=C2C)=N1 |c:2,4,7,20,23,t:17|",2,TRUE,Z8873684620
1919,Cc1cc(nnc1N)C(F)(F)F,COc1cc(C=O)ccc1S(=O)(=O)C,[C-]#[N+]C1CCOCC1,"COC1=C(C=CC(=C1)C1=C(NC2CCOCC2)N2N=C(C=C(C)C2=N1)C(F)(F)F)S(C)(=O)=O |c:4,6,9,20,26,t:2,22|",2,TRUE,Z8878918392
355,Nc1nccnc1OC2CCC2,O=CCN1C(=O)c2ccccc2C1=O,[C-]#[N+]C1CCOC1,"O=C1N(CC2=C(NC3CCOC3)N3C=CN=C(OC4CCC4)C3=N2)C(=O)C2=C1C=CC=C2 |c:4,14,25,30,33,35,t:16|",2.2,TRUE,Z8810903007
967,Nc1ncc2COCCc2c1C#N,Cc1nc(C=O)c[nH]1,Brc1cccc(C[N+]#[C-])c1,"CC1=NC(=CN1)C1=C(NCC2=CC(Br)=CC=C2)N2C=C3COCCC3=C(C#N)C2=N1 |c:3,7,14,16,32,t:1,11,20,27|",2.2,TRUE,Z8837933173
350,Nc1nccnc1N2CCCC2,COC(=O)c1cc(C=O)nn1C,COCC[N+]#[C-],"COCCNC1=C(N=C2N1C=CN=C2N1CCCC1)C1=NN(C)C(=C1)C(=O)OC |c:7,11,13,26,t:5,22|",2.4,TRUE,Z8798985046
352,Nc1ccc(nn1)C(F)(F)F,COCn1nccc1C=O,COC(=O)C1CC(C1)[N+]#[C-],"COCN1N=CC=C1C1=C(NC2CC(C2)C(=O)OC)N2N=C(C=CC2=N1)C(F)(F)F |c:4,6,9,22,24,27|",2.4,TRUE,Z8781341773
1912,Nc1ncccc1N2CCCCC2,Cc1cc(C=O)no1,COCC[N+]#[C-],"COCCNC1=C(N=C2N1C=CC=C2N1CCCCC1)C1=NOC(C)=C1 |c:7,11,13,27,t:5,23|",2.4,TRUE,Z8878918510
337,Nc1cc(C#N)ccn1,O=Cc1cnsn1,C[N+]#[C-],"CNC1=C(N=C2C=C(C=CN12)C#N)C1=NSN=C1 |c:6,8,18,t:2,4,15|",2.6,TRUE,Z8786958823
348,Nc1nccn2ccnc12,Cc1ccc(C=O)cc1,[C-]#[N+]C1CCOCC1,"CC1=CC=C(C=C1)C1=C(NC2CCOCC2)N2C=CN3C=CN=C3C2=N1 |c:3,5,8,19,22,24,28,t:1|",2.6,TRUE,Z8778277397
351,CC(O)c1cc(Br)cnc1N,CCc1nn(C)cc1C=O,[C-]#[N+]CC1CCCO1,"CCC1=NN(C)C=C1C1=C(NCC2CCCO2)N2C=C(Br)C=C(C(C)O)C2=N1 |c:6,9,29,t:2,20,23|",2.6,TRUE,Z8810902957
962,Cl.COc1ccc(C)c(N)n1,"O=C[C@@H]1C[C@H]1C2OCCO2|&1:2,4,r|",CC(C)(C)[N+]#[C-],"COC1=CC=C(C)C2=NC([C@@H]3C[C@H]3C3OCCO3)=C(NC(C)(C)C)N12 |&1:10,12,r,t:2,4,7,19|",2.6,TRUE,Z8873684730
1900,Nc1cnccn1,CCn1nnc(C=O)n1,C[N+]#[C-],"CCN1N=NC(=N1)C1=C(NC)N2C=CN=CC2=N1 |c:3,5,8,13,15,18|",2.7,TRUE,Z8855739229
964,CNC(=O)c1ccc(N)nc1,Cc1cc(OCC#N)ccc1C=O,[C-]#[N+]C1CCOC1,"CNC(=O)C1=CN2C(NC3CCOC3)=C(N=C2C=C1)C1=C(C)C=C(OCC#N)C=C1 |c:14,16,19,22,31,t:4,25|",2.8,TRUE,Z8878918349
1909,Nc1ccc2nccn2n1,Cc1noc(C)c1C=O,COc1ccc([N+]#[C-])c(C)c1,"COC1=CC(C)=C(NC2=C(N=C3C=CC4=NC=CN4N23)C2=C(C)ON=C2C)C=C1 |c:12,16,23,27,31,t:2,5,8,10,14|",2.8,TRUE,Z8878918340
1913,Cl.Nc1ccc(cn1)C(F)C(F)(F)F,OCc1ccsc1C=O,[C-]#[N+]C1CCOCC1,"OCC1=C(SC=C1)C1=C(NC2CCOCC2)N2C=C(C=CC2=N1)C(F)C(F)(F)F |c:5,8,19,21,24,t:2|",2.8,TRUE,Z8873684604
1914,CC(=O)Nc1ccnc(N)c1,CC1Oc2ccc(C=O)cc2NC1=O,[C-]#[N+]C1COC1,"CC1OC2=C(NC1=O)C=C(C=C2)C1=C(NC2COC2)N2C=CC(NC(C)=O)=CC2=N1 |c:3,9,11,14,23,29,32|",2.8,TRUE,Z8878918783
1915,CCc1cccc(N)n1,CS(=O)(=O)c1coc(C=O)c1,COC(=O)CCC([N+]#[C-])C(=O)OC,"CCC1=CC=CC2=NC(C3=CC(=CO3)S(C)(=O)=O)=C(NC(CCC(=O)OC)C(=O)OC)N12 |c:4,11,t:2,6,9,18|",2.8,TRUE,Z8873685377
345,Nc1cc(Cl)cnn1,COc1ncc(C=O)cc1F,CCCC[N+]#[C-],"CCCCNC1=C(N=C2C=C(Cl)C=NN12)C1=CC(F)=C(OC)N=C1 |c:12,24,t:5,7,9,17,20|",3,TRUE,Z8778278044
960,Nc1ccc(Cl)nn1,COC(=O)c1cc(C=O)n(C)n1,C[N+]#[C-],"CNC1=C(N=C2C=CC(Cl)=NN12)C1=CC(=NN1C)C(=O)OC |c:6,9,16,t:2,4,14|",3,TRUE,Z8846491866
965,CC(C)(C)OC(=O)Nc1ccnc(N)c1,COc1c(C=O)c(C)nn1C,CCOCC[N+]#[C-],"CCOCCNC1=C(N=C2C=C(NC(=O)OC(C)(C)C)C=CN12)C1=C(OC)N(C)N=C1C |c:20,25,31,t:6,8,10|",3,TRUE,Z8810903014
966,CCC(C)Oc1cccc(N)n1,CP(=O)(C)c1ccc(C=O)cn1,CCOC(=O)CC[N+]#[C-],"CCOC(=O)CCNC1=C(N=C2C=CC=C(OC(C)CC)N12)C1=CN=C(C=C1)P(C)(C)=O |c:12,26,28,t:8,10,14,24|",3,TRUE,Z8878918631
1899,Nc1ccc(Cl)nn1,CCn1nnc(C=O)n1,C[N+]#[C-],"CCN1N=NC(=N1)C1=C(NC)N2N=C(Cl)C=CC2=N1 |c:3,5,8,16,19,t:13|",3.1,TRUE,Z8846491739
341,Nc1nccnc1Cl,O=CCCc1ccccc1,COCC[N+]#[C-],"COCCNC1=C(CCC2=CC=CC=C2)N=C2N1C=CN=C2Cl |c:5,11,13,16,20,22,t:9|",3.2,TRUE,Z8741907130
344,Nc1ccc(nn1)C2CC2,CN(C)c1cc(C=O)ccn1,FC(F)C[N+]#[C-],"CN(C)C1=NC=CC(=C1)C1=C(NCC(F)F)N2N=C(C=CC2=N1)C1CC1 |c:5,7,10,18,20,23,t:3|",3.2,TRUE,Z8781341778
346,CC(C)(C)c1cccc(N)n1,Fc1ccc(C=O)cc1,[C-]#[N+]CC1CCOCC1,"CC(C)(C)C1=CC=CC2=NC(=C(NCC3CCOCC3)N12)C1=CC=C(F)C=C1 |c:6,29,t:4,8,10,24,26|",3.2,TRUE,Z8784060117
347,Nc1cnc(Br)c(Cl)n1,Cc1nn(C)c(C)c1C=O,CC(C)[N+]#[C-],"CC(C)NC1=C(N=C2C=NC(Br)=C(Cl)N12)C1=C(C)N(C)N=C1C |c:8,17,22,t:4,6,11|",3.2,TRUE,Z8810903047
1910,Cc1cc(N)ncc1Cl,O=Cc1csc(C#N)c1,COC(=O)CCC([N+]#[C-])C(=O)OC,"COC(=O)CCC(NC1=C(N=C2C=C(C)C(Cl)=CN12)C1=CSC(=C1)C#N)C(=O)OC |c:16,24,t:8,10,12,21|",3.2,TRUE,Z8873685450
338,Cc1ccc(C#N)c(N)n1,COc1cccc(C=O)n1,COCC[N+]#[C-],"COCCNC1=C(N=C2N1C(C)=CC=C2C#N)C1=NC(OC)=CC=C1 |c:7,12,14,23,25,t:5,19|",3.3,TRUE,Z8798985058
339,Nc1cccnn1,Cc1nc(C=O)nn1C,COc1ccc(C[N+]#[C-])cc1,"COC1=CC=C(CNC2=C(N=C3C=CC=NN23)C2=NN(C)C(C)=N2)C=C1 |c:12,14,24,27,t:2,4,8,10,19|",3.4,TRUE,Z8786958899
349,Nc1ccc(cn1)S(=O)(=O)O,Cc1cc(ccc1C=O)n2ccnc2,"COC(=O)[C@@H]1CC[C@@H](C1)[N+]#[C-]|&1:4,7,r|","COC(=O)[C@@H]1CC[C@@H](C1)NC1=C(N=C2C=CC(=CN12)S(O)(=O)=O)C1=C(C)C=C(C=C1)N1C=CN=C1 |&1:4,7,r,c:15,17,26,29,31,35,37,t:11,13|",3.4,TRUE,Z8810903023
963,CP(=O)(C)c1cnc(N)cn1,Brc1cnc2ccc(C=O)cc2c1,CC(C)(C)[N+]#[C-],"CC(C)(C)NC1=C(N=C2C=NC(=CN12)P(C)(C)=O)C1=CC2=C(C=C1)N=CC(Br)=C2 |c:9,11,22,24,27,30,t:5,7,20|",3.4,TRUE,Z8855739253
1905,Cc1nc(Cl)cnc1N,COC(=O)c1cccc(C=O)n1,COCCC[N+]#[C-],"COCCCNC1=C(N=C2N1C=C(Cl)N=C2C)C1=NC(=CC=C1)C(=O)OC |c:8,15,21,23,t:6,12,19|",3.4,TRUE,Z8878918321
1911,CN(C)Cc1ccnc(N)c1,CC(C)(C)OC(=O)N1CC(C1)c2ncc(C=O)s2,[C-]#[N+]C1CCOC1,"CN(C)CC1=CC2=NC(C3=CN=C(S3)C3CN(C3)C(=O)OC(C)(C)C)=C(NC3CCOC3)N2C=C1 |c:11,37,t:4,6,9,26|",3.4,TRUE,Z8878918533
336,Cl.Nc1ncccc1C2CC2,CCn1cnnc1C=O,[C-]#[N+]C1CCOCC1,"CCN1C=NN=C1C1=C(NC2CCOCC2)N2C=CC=C(C3CC3)C2=N1 |c:3,5,8,19,28,t:21|",3.5,TRUE,Z8803896959
1440,CN(C)C(=O)c1cnc(N)c(Br)c1,COCCCCC=O,"COC(=O)[C@@H]1CC[C@@H](C1)[N+]#[C-]|&1:4,7,r|6","COCCCCC1=C(N[C@@H]2CC[C@@H](C2)C(=O)OC)N2C=C(C=C(Br)C2=N1)C(=O)N(C)C |&1:9,12,r,c:6,20,26,t:22|",3.5,TRUE,Z8873684645
343,Nc1cccnn1,O=Cc1cnccn1,Brc1cccc(C[N+]#[C-])c1,"BrC1=CC(CNC2=C(N=C3C=CC=NN23)C2=NC=CN=C2)=CC=C1 |c:10,12,19,21,23,25,t:1,6,8,17|",3.6,TRUE,Z8803896956
961,Cc1cnc(N)c(C)c1,O=Cc1cccn2nccc12,COC(=O)CCC([N+]#[C-])C(=O)OC,"COC(=O)CCC(NC1=C(N=C2N1C=C(C)C=C2C)C1=CC=CN2N=CC=C12)C(=O)OC |c:10,17,23,26,t:8,14,21,28|",3.6,TRUE,Z8878918448
1904,Nc1cccnn1,C=CCCn1cc(C=O)nn1,COc1ccc(C[N+]#[C-])cc1,"COC1=CC=C(CNC2=C(N=C3C=CC=NN23)C2=CN(CCC=C)N=N2)C=C1 |c:12,14,26,29,t:2,4,8,10,19|",3.7,TRUE,Z8837933164
333,Cn1c(=O)[nH]c2c(N)nccc12,Cc1ccc(C=O)cc1,[C-]#[N+]C1CCOCC1,"CN1C(=O)NC2=C1C=CN1C(NC3CCOCC3)=C(N=C21)C1=CC=C(C)C=C1 |c:5,8,19,30,t:21,25,27|",3.9,TRUE,Z8784060908
342,NC(=O)c1ccc(N)nn1,COC(=O)c1ccc(C=O)n1C,CCOC(=O)CC[N+]#[C-],"CCOC(=O)CCNC1=C(N=C2C=CC(=NN12)C(N)=O)C1=CC=C(N1C)C(=O)OC |c:12,14,24,t:8,10,22|",3.9,TRUE,Z8798985052
955,NC(=O)c1ccc(N)nn1,O=Cc1ccc(cc1)N2CCC2,[C-]#[N+]CC1CCCO1,"NC(=O)C1=NN2C(C=C1)=NC(=C2NCC1CCCO1)C1=CC=C(C=C1)N1CCC1 |c:7,9,11,24,26,t:3,22|",3.9,TRUE,Z8829498718
957,Nc1nccc2nccnc12,Brc1nc(C=O)cs1,COCC[N+]#[C-],"COCCNC1=C(N=C2N1C=CC1=C2N=CC=N1)C1=CSC(Br)=N1 |c:7,11,13,16,18,25,t:5,21|",3.9,TRUE,Z8878918553
1903,Nc1cc(C#N)c(Cl)cn1,O=Cc1noc2CCOCc12,CC(=C)C[N+]#[C-],"CC(=C)CNC1=C(N=C2C=C(C#N)C(Cl)=CN12)C1=NOC2=C1COCC2 |c:14,22,t:5,7,9,19|",3.9,TRUE,Z8873684945
1906,Cc1cn2nc(N)cc(C)c2n1,O=Cc1cnns1,CC(C)(C)OC(=O)N1CCC[C@H](C1)[N+]#[C-],"CC1=CN2N3C(NC4CCCN(C4)C(=O)OC(C)(C)C)=C(N=C3C=C(C)C2=N1)C1=CN=NS1 |c:20,22,29,34,t:1,25,32|",4,TRUE,Z8873684642
1907,Nc1cc(F)c(Br)cn1,O=Cc1csc(C#N)c1,COC(=O)CCC([N+]#[C-])C(=O)OC,"COC(=O)CCC(NC1=C(N=C2C=C(F)C(Br)=CN12)C1=CSC(=C1)C#N)C(=O)OC |c:16,24,t:8,10,12,21|",4,TRUE,Z8878918562
332,Cc1cc(N)nnc1C,O=Cc1cc(n[nH]1)c2ccccn2,[C-]#[N+]C1CCOC1,"CC1=CC2=NC(C3=CC(=NN3)C3=NC=CC=C3)=C(NC3CCOC3)N2N=C1C |c:8,14,16,29,t:1,3,6,12,18|",4.1,TRUE,Z8801681808
335,Nc1ncc(Br)c2cccnc12,Cc1ccc(C=O)cc1,CCCC[N+]#[C-],"CCCCNC1=C(N=C2N1C=C(Br)C1=C2N=CC=C1)C1=CC=C(C)C=C1 |c:7,14,17,19,27,t:5,11,22,24|",4.1,TRUE,Z8797778731
959,Nc1ccc2nccn2n1,Cc1noc(C)c1C=O,Brc1cccc(C[N+]#[C-])c1,"CC1=C(C(C)=NO1)C1=C(NCC2=CC(Br)=CC=C2)N2N3C=CN=C3C=CC2=N1 |c:4,8,15,17,22,24,27,30,t:1,12|",4.1,TRUE,Z8878918842
329,Cl.Nc1cc(ccn1)S(=O)(=O)N,Cc1cc(C=O)ccn1,COCC[N+]#[C-],"COCCNC1=C(N=C2C=C(C=CN12)S(N)(=O)=O)C1=CC(C)=NC=C1 |c:9,11,23,25,t:5,7,20|",4.3,TRUE,Z8784059519
331,Nc1ccc2nccn2n1,CCn1cncc1C=O,COc1ccc([N+]#[C-])c(C)c1,"CCN1C=NC=C1C1=C(NC2=C(C)C=C(OC)C=C2)N2N3C=CN=C3C=CC2=N1 |c:3,5,8,11,18,23,25,28,31,t:14|",4.3,TRUE,Z8801681850
340,Cl.COC(=O)c1cnc(N)cn1,O=Cc1cc2OCCCCn2n1,COC(=O)C1(CCCC1)[N+]#[C-],"COC(=O)C1=CN2C(NC3(CCCC3)C(=O)OC)=C(N=C2C=N1)C1=NN2CCCCOC2=C1 |c:18,20,23,35,t:4,26|",4.3,TRUE,Z8808559886
954,Nc1ccc2ccc(=O)[nH]c2n1,O=Cc1cncs1,COC(=O)C1(CCCC1)[N+]#[C-],"COC(=O)C1(CCCC1)NC1=C(N=C2C=CC3=C(NC(=O)C=C3)N12)C1=CN=CS1 |c:15,22,30,t:11,13,17,28|",4.3,TRUE,Z8878918867
956,Nc1nccnc1n2cccn2,Cl.O=Cc1ccc(cc1)c2cn[nH]c2,FC1(F)CC(C1)[N+]#[C-],"FC1(F)CC(C1)NC1=C(N=C2N1C=CN=C2N1C=CC=N1)C1=CC=C(C=C1)C1=CNN=C1 |c:10,14,16,20,22,27,29,35,t:8,25,32|",4.3,TRUE,Z8855739082
325,COc1ccc(F)c(N)n1,COc1ccc(C=O)cc1,C[N+]#[C-],"CNC1=C(N=C2N1C(OC)=CC=C2F)C1=CC=C(OC)C=C1 |c:4,10,12,22,t:2,16,18|",4.5,TRUE,Z8776690311
328,Nc1nc(Cl)ccc1Cl,O=CC1CCC2(COC2)OC1,CC(C)[N+]#[C-],"CC(C)NC1=C(N=C2N1C(Cl)=CC=C2Cl)C1CCC2(COC2)OC1 |c:6,11,13,t:4|",4.5,TRUE,Z8810903010
958,CP(=O)(C)c1ccc(N)nc1,Fc1c(F)c(C=O)ccc1Br,CSCC[N+]#[C-],"CSCCNC1=C(N=C2C=CC(=CN12)P(C)(C)=O)C1=C(F)C(F)=C(Br)C=C1 |c:9,11,20,27,t:5,7,24|",4.5,TRUE,Z8878918772
1887,Nc1ccccn1,O=CCC1(CCOCC1)C#N,C[N+]#[C-],"CNC1=C(CC2(CCOCC2)C#N)N=C2C=CC=CN12 |c:2,16,18,t:14|",4.5,TRUE,Z8878918469
1889,Cc1cncc(N)n1,Clc1csc(C=O)n1,C[N+]#[C-],"CNC1=C(N=C2C=NC=C(C)N12)C1=NC(Cl)=CS1 |c:6,17,t:2,4,8,14|",4.5,TRUE,Z8878918870
1897,Cc1ccc(N)nn1,O=Cc1cnccn1,COc1ccc(C[N+]#[C-])cc1,"COC1=CC=C(CNC2=C(N=C3C=CC(C)=NN23)C2=NC=CN=C2)C=C1 |c:12,15,22,24,27,t:2,4,8,10,20|",4.5,TRUE,Z8873685365
327,Cl.Cc1cc(Cl)nnc1N,CSCCC=O,[C-]#[N+]C1CCOCC1,"CSCCC1=C(NC2CCOCC2)N2N=C(Cl)C=C(C)C2=N1 |c:4,22,t:15,18|",4.7,TRUE,Z8778278037
330,Nc1cnc(C#C)c(Cl)n1,O=Cc1cn(nn1)C2CCOCC2,CSCC[N+]#[C-],"CSCCNC1=C(N=C2C=NC(C#C)=C(Cl)N12)C1=CN(N=N1)C1CCOCC1 |c:9,22,t:5,7,13,19|",4.7,TRUE,Z8801681831
1898,Nc1ccc2nccn2n1,Cn1c(Cl)ncc1C=O,COc1ccc(C[N+]#[C-])cc1,"COC1=CC=C(CNC2=C(N=C3C=CC4=NC=CN4N23)C2=CN=C(Cl)N2C)C=C1 |c:12,16,31,t:2,4,8,10,14,23,25|",4.7,TRUE,Z8837933161
1902,Nc1cccc(Cc2ccccn2)n1,"Cn1ccnc1[C@@H]2OCCC[C@H]2C=O|&1:6,11,r|",CC(C)[N+]#[C-],"CC(C)NC1=C(N=C2C=CC=C(CC3=NC=CC=C3)N12)[C@@H]1CCCO[C@H]1C1=NC=CN1C |&1:20,25,r,c:8,15,17,32,t:4,6,10,13,30|",4.7,TRUE,Z8873685372
581,Nc1ccc(Cl)cn1,O=Cc1cnc2c(C#N)cnn2c1,COc1cccc(C[N+]#[C-])c111,"COC1=CC(CNC2=C(N=C3C=CC(Cl)=CN23)C2=CN3N=CC(C#N)=C3N=C2)=CC=C1 |c:11,14,22,26,29,31,33,t:2,7,9,19|",4.9,TRUE,Z8878918808
334,CC(C)(C)c1ccc(N)nn1,CP(=O)(C)c1ccc(C=O)cc1,CC(C)(C)OC(=O)NCCC[N+]#[C-],"CC(C)(C)OC(=O)NCCCNC1=C(N=C2C=CC(=NN12)C(C)(C)C)C1=CC=C(C=C1)P(C)(C)=O |c:16,18,29,31,t:12,14,27|",5.1,TRUE,Z8803896931
1161,Cl.Nc1cc(ccn1)c2ncon2,O=Cc1cn(nn1)C2CCOCC2,[C-]#[N+]C1CCOCC110,"C1CC(CCO1)NC1=C(N=C2C=C(C=CN12)C1=NOC=N1)C1=CN(N=N1)C1CCOCC1 |c:12,14,22,28,t:8,10,19,25|",5.1,TRUE,Z8878918418
950,Nc1ccc(F)nn1,CCn1ncc(C)c1C=O,CC(C)(C)OC(=O)N1CCC(CC1)[N+]#[C-],"CCN1N=CC(C)=C1C1=C(NC2CCN(CC2)C(=O)OC(C)(C)C)N2N=C(F)C=CC2=N1 |c:3,6,9,30,33,t:27|",5.3,TRUE,Z8878918795
1895,CC(=O)Nc1ccnc(N)c1,O=Cc1nnc2CCCCn12,[C-]#[N+]C1CCC1,"CC(=O)NC1=CC2=NC(=C(NC3CCC3)N2C=C1)C1=NN=C2CCCCN12 |c:18,t:4,6,8,21,23|",5.3,TRUE,Z8873684831
1901,Cc1cnc(N)c(C)c1,COC(=O)c1cc(OC)cc(C=O)n1,COC(=O)CCC([N+]#[C-])C(=O)OC,"COC(=O)CCC(NC1=C(N=C2N1C=C(C)C=C2C)C1=NC(=CC(OC)=C1)C(=O)OC)C(=O)OC |c:10,17,23,27,t:8,14,21|",5.3,TRUE,Z8878918405
948,COC(=O)c1ccc(N)nn1,Clc1cccnc1C=O,Fc1ccc(C[N+]#[C-])cc1,"COC(=O)C1=NN2C(C=C1)=NC(=C2NCC1=CC=C(F)C=C1)C1=C(Cl)C=CC=N1 |c:8,10,12,22,25,28,30,t:4,17,19|",5.5,TRUE,Z8778278034
951,COC(=O)c1ccc(N)nc1,O=Cc1cnc(nc1)N2CCOCC2,COc1cccc([N+]#[C-])c1,"COC(=O)C1=CN2C(C=C1)=NC(=C2NC1=CC(OC)=CC=C1)C1=CN=C(N=C1)N1CCOCC1 |c:8,10,12,20,22,27,29,t:4,16,25|",5.5,TRUE,Z8878918649
952,Nc1cccc(C#C)n1,Brc1ncsc1C=O,COC(=O)CCC([N+]#[C-])C(=O)OC,"COC(=O)CCC(NC1=C(N=C2C=CC=C(C#C)N12)C1=C(Br)N=CS1)C(=O)OC |c:12,21,24,t:8,10,14|",5.5,TRUE,Z8854581160
953,Nc1nccc2nccnc12,COc1c(F)c(I)ccc1C=O,COCC[N+]#[C-],"COCCNC1=C(N=C2N1C=CC1=C2N=CC=N1)C1=C(OC)C(F)=C(I)C=C1 |c:7,11,13,16,18,21,29,t:5,26|",5.5,TRUE,Z8878918786
946,Nc1ccc2nccn2n1,Clc1ncsc1C=O,COc1ccc([N+]#[C-])c(C)c1,"COC1=CC(C)=C(NC2=C(N=C3C=CC4=NC=CN4N23)C2=C(Cl)N=CS2)C=C1 |c:12,16,23,26,30,t:2,5,8,10,14|",5.6,TRUE,Z8878918470
311,Nc1nccnc1C#C,O=Cc1ccsc1,CCCC[N+]#[C-],"CCCCNC1=C(N=C2N1C=CN=C2C#C)C1=CSC=C1 |c:7,11,13,21,t:5,18|",5.8,TRUE,Z8778277313
1877,Cc1cncc(N)n1,CCc1nn(C)c(C=O)c1Cl,C[N+]#[C-],"CCC1=NN(C)C(=C1Cl)C1=C(NC)N2C(C=NC=C2C)=N1 |c:6,10,16,18,21,t:2|",5.8,TRUE,Z8837933139
1885,CS(=O)(=O)c1ccc(N)nc1,Cc1coc(C=O)n1,CC(=C)C[N+]#[C-],"CC(=C)CNC1=C(N=C2C=CC(=CN12)S(C)(=O)=O)C1=NC(C)=CO1 |c:9,11,23,t:5,7,20|",5.8,TRUE,Z8873684784
314,COc1ccc(N)nn1,O=Cc1ccccc1,[C-]#[N+]c1ccccc1,"COC1=NN2C(C=C1)=NC(=C2NC1=CC=CC=C1)C1=CC=CC=C1 |c:6,8,10,16,18,23,25,t:2,14,21|",6,TRUE,Z8741907033
942,NC(=O)c1ccnc(N)c1,O=CC1CCOC2(CCC2)C1,CC(C)(C)[N+]#[C-],"CC(C)(C)NC1=C(N=C2C=C(C=CN12)C(N)=O)C1CCOC2(CCC2)C1 |c:9,11,t:5,7|",6,TRUE,Z8855619753
1892,Nc1ccc2nccn2n1,Cn1c(Cl)ncc1C=O,COc1ccc([N+]#[C-])c(C)c1,"COC1=CC(C)=C(NC2=C(N=C3C=CC4=NC=CN4N23)C2=CN=C(Cl)N2C)C=C1 |c:12,16,31,t:2,5,8,10,14,23,25|",6,TRUE,Z8855739267
949,COC(=O)c1cncc(N)n1,COC(=O)c1cc(C=O)cc(c1)[N+](=O)[O-],COC(=O)C1(CCCC1)[N+]#[C-],"COC(=O)C1=CC(=CC(=C1)[N+]([O-])=O)C1=C(NC2(CCCC2)C(=O)OC)N2C(C=NC=C2C(=O)OC)=N1 |c:6,8,14,29,31,37,t:4|",6.1,TRUE,Z8854581134
319,Nc1cccnn1,COc1ccc(C=O)cc1,COc1ccc(C[N+]#[C-])cc1,"COC1=CC=C(CNC2=C(N=C3C=CC=NN23)C2=CC=C(OC)C=C2)C=C1 |c:12,14,25,28,t:2,4,8,10,19,21|",6.2,TRUE,Z8776690334
947,Cl.Nc1cc(ccn1)c2ncon2,FC(F)(F)Cn1ccc(C=O)n1,Fc1ccc(C[N+]#[C-])cc1,"FC1=CC=C(CNC2=C(N=C3C=C(C=CN23)C2=NOC=N2)C2=NN(CC(F)(F)F)C=C2)C=C1 |c:11,13,21,32,35,t:1,3,7,9,18,24|",6.2,TRUE,Z8873685392
