Entry,Component_A_SMILES,Component_B_SMILES,Component_C_SMILES,Product_SMILES,Yield_Percent,Is_Synthesizable,Z_ID
1762,Nc1cncc(CO)n1,Fc1c(F)c(C=O)ccc1Cl,COCCC[N+]#[C-],"COCCCNC1=C(N=C2C=NC=C(CO)N12)C1=C(F)C(F)=C(Cl)C=C1 |c:10,19,26,t:6,8,12,23|",21.9,TRUE,Z8873684818
264,Cl.CN(C)S(=O)(=O)c1ccnc(N)c1,Fc1ccc2c(C=O)n[nH]c2c1,[C-]#[N+]C1CC1,"CN(C)S(=O)(=O)C1=CC2=NC(=C(NC3CC3)N2C=C1)C1=NNC2=C1C=CC(F)=C2 |c:19,25,28,31,t:6,8,10,22|",22,TRUE,Z8810903045
860,Nc1ccc(Cl)nn1,Cn1c(Cl)ncc1C=O,COc1ccc(C[N+]#[C-])cc1,"COC1=CC=C(CNC2=C(N=C3C=CC(Cl)=NN23)C2=CN=C(Cl)N2C)C=C1 |c:12,15,28,t:2,4,8,10,20,22|",22,TRUE,Z8835022916
1736,Nc1cc(ccn1)C2CCOC2,O=Cc1nc(n[nH]1)C2CC2,CC[N+]#[C-],"CCNC1=C(N=C2C=C(C=CN12)C1CCOC1)C1=NC(=NN1)C1CC1 |c:7,9,22,t:3,5,20|",22,TRUE,Z8855619710
1784,NC(=S)c1ccc(N)nc1,COC(=O)COc1cc(C=O)ccc1OC,COCC[N+]#[C-],"COCCNC1=C(N=C2C=CC(=CN12)C(N)=S)C1=CC(OCC(=O)OC)=C(OC)C=C1 |c:9,11,31,t:5,7,19,27|",22,TRUE,Z8878918894
243,Nc1cc(ccn1)C(F)F,Cc1cc(C=O)[nH]n1,CCOCC[N+]#[C-],"CCOCCNC1=C(N=C2C=C(C=CN12)C(F)F)C1=CC(C)=NN1 |c:10,12,23,t:6,8,20|",22.1,TRUE,Z8781341768
1654,Nc1ccccn1,O=Cc1cnc2COCCn12,C[N+]#[C-],"CNC1=C(N=C2C=CC=CN12)C1=CN=C2COCCN12 |c:6,8,t:2,4,13,15|",22.1,TRUE,Z8849597823
1732,Nc1nccnc1C2CC2,COc1cc(C=O)n(C)n1,[C-]#[N+]C1CCC1,"COC1=NN(C)C(=C1)C1=C(NC2CCC2)N2C=CN=C(C3CC3)C2=N1 |c:6,9,18,27,t:2,20|",22.1,TRUE,Z8873685440
1780,COC(=O)c1ccc2ccc(N)nc2c1,Cn1nc(nc1C=O)C2CC2,CCOCC[N+]#[C-],"CCOCCNC1=C(N=C2C=CC3=C(C=C(C=C3)C(=O)OC)N12)C1=NC(=NN1C)C1CC1 |c:10,14,16,28,t:6,8,12,26|",22.1,TRUE,Z8878918435
879,Nc1cc(ccn1)n2ccnc2,COC(=O)c1ncc(C=O)s1,[C-]#[N+]CCOCc1ccccc1,"COC(=O)C1=NC=C(S1)C1=C(NCCOCC2=CC=CC=C2)N2C=CC(=CC2=N1)N1C=CN=C1 |c:6,10,19,21,25,27,30,34,36,t:4,17|",22.2,TRUE,Z8878918572
